Year,Region/Country/Area,All staff compensation as % of total expenditure in public institutions (%),Basic access to computers by level of education: Lower secondary,Basic access to computers by level of education: Primary,Basic access to computers by level of education: Upper secondary,Capital expenditure as % of total expenditure in public institutions (%),Current expenditure other than staff compensation as % of total expenditure in public institutions (%),Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),Ratio of girls to boys in lower secondary education,Ratio of girls to boys in primary education,Ratio of girls to boys in upper secondary education,Teachers at lower secondary level,Teachers at primary level,Teachers at upper secondary level,Teachers with minimum required qualifications at lower secondary level,Teachers with minimum required qualifications at primary level,Teachers with minimum required qualifications at upper secondary level
2015,20,0.0,0.0,0.0,0.0,1.3,63.6,92.2,97.7,88.2,89.6,91.6,83.8,3.0,4.0,1.0,0.94,0.98,1.09,0.0,419.0,0.0,0.0,100.0,0.0
2015,40,68.3,100.0,100.0,100.0,5.5,26.2,100.6,100.8,100.4,101.7,98.8,105.1,334.0,328.0,358.0,1.0,0.99,0.94,0.0,0.0,0.0,0.0,0.0,0.0
2015,56,81.0,0.0,100.0,100.0,5.0,13.9,188.0,177.2,102.3,102.2,168.4,142.4,445.0,783.0,773.0,1.06,1.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0
2015,112,68.9,0.0,0.0,0.0,4.8,26.4,93.2,95.0,95.3,96.8,103.0,108.9,445.0,387.0,200.0,0.98,0.98,0.95,0.0,0.0,0.0,98.0,99.4,91.5
2015,124,69.4,0.0,78.1,0.0,7.8,22.8,100.4,101.1,99.5,100.1,123.5,121.4,0.0,0.0,0.0,0.99,0.99,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2015,191,69.3,0.0,13.5,0.0,4.4,26.3,110.7,106.5,99.0,98.5,96.5,91.7,179.0,162.0,182.0,1.04,1.01,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2015,196,82.9,0.0,87.9,0.0,4.1,13.0,99.2,100.0,99.3,99.3,99.6,100.3,27.0,54.0,30.0,0.99,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0
2015,268,0.0,0.0,90.3,0.0,0.0,0.0,107.8,111.9,105.8,109.4,103.1,102.3,139.0,289.0,138.0,0.96,0.97,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2015,276,73.1,0.0,78.1,0.0,6.8,20.1,100.0,102.1,102.4,102.9,98.4,109.8,0.0,0.0,0.0,0.98,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2015,344,0.0,0.0,90.9,0.0,0.0,0.0,108.9,112.1,104.0,106.2,102.7,107.0,183.0,333.0,211.0,0.97,0.98,0.96,0.0,0.0,0.0,0.0,96.2,0.0
2015,348,67.4,100.0,100.0,100.0,6.3,26.3,99.2,100.5,100.6,101.0,110.3,107.7,385.0,396.0,441.0,0.99,1.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2015,352,64.8,0.0,0.0,0.0,5.5,29.7,98.4,99.1,98.9,98.5,136.4,133.6,13.0,30.0,24.0,0.99,1.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2015,380,76.1,0.0,59.1,0.0,5.0,18.9,103.1,105.8,100.2,100.6,99.0,99.5,0.0,0.0,0.0,0.97,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,392,68.8,0.0,81.4,0.0,13.0,18.2,101.6,101.7,102.3,102.6,103.0,102.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,410,0.0,100.0,100.0,100.0,0.0,0.0,100.9,101.6,99.9,100.2,96.2,96.4,0.0,0.0,0.0,0.99,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
2015,428,60.5,0.0,0.0,0.0,15.6,23.8,101.5,104.4,99.4,99.4,121.4,122.9,55.0,117.0,62.0,0.97,1.0,0.99,0.0,0.0,0.0,100.0,100.0,100.0
2015,440,67.5,0.0,55.0,0.0,12.4,20.1,102.0,106.0,101.9,102.2,114.0,119.6,183.0,108.0,81.0,0.96,1.0,0.95,0.0,0.0,0.0,0.0,94.5,0.0
2015,442,76.1,100.0,100.0,100.0,9.8,14.1,114.5,113.6,97.6,97.2,100.4,94.4,22.0,36.0,25.0,1.01,1.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2015,446,59.1,0.0,0.0,0.0,9.2,31.7,107.2,110.9,101.8,98.0,97.6,92.2,14.0,24.0,16.0,0.97,1.04,1.06,0.0,0.0,0.0,87.3,96.2,87.4
2015,470,72.7,0.0,0.0,0.0,13.6,13.7,102.0,102.9,101.6,99.1,94.8,86.2,13.0,25.0,17.0,0.99,1.03,1.09,0.0,0.0,0.0,0.0,84.7,0.0
2015,484,85.1,0.0,0.0,0.0,3.1,11.9,135.5,123.6,106.6,107.4,73.4,71.4,0.0,0.0,0.0,1.09,0.99,1.03,0.0,0.0,0.0,0.0,84.4,0.0
2015,498,52.2,0.0,0.0,0.0,7.5,0.0,105.9,105.8,105.2,106.3,105.6,101.2,162.0,139.0,71.0,1.0,0.99,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2015,528,67.8,100.0,100.0,100.0,11.4,20.8,97.8,58.9,105.6,106.5,138.0,129.4,816.0,0.0,797.0,0.96,0.99,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2015,554,0.0,0.0,98.5,0.0,0.0,0.0,101.8,102.3,98.5,98.6,138.8,123.9,242.0,368.0,245.0,1.0,1.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
2015,578,69.7,100.0,100.0,100.0,12.3,18.1,103.7,102.4,99.3,99.4,123.0,130.7,195.0,431.0,249.0,1.01,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0
2015,616,69.0,100.0,100.0,100.0,7.4,23.6,98.5,101.8,0.0,0.0,115.8,119.8,0.0,0.0,0.0,0.97,0.0,0.97,0.0,0.0,0.0,99.2,99.6,98.4
2015,620,83.2,100.0,100.0,100.0,4.8,12.0,115.0,117.6,105.0,108.9,117.8,117.0,385.0,657.0,394.0,0.98,0.96,1.01,0.0,0.0,0.0,0.0,100.0,0.0
2015,642,62.5,0.0,0.0,0.0,5.7,31.8,86.8,98.9,83.5,94.5,85.9,94.0,785.0,947.0,778.0,0.88,0.88,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2015,643,70.9,0.0,75.5,0.0,7.2,21.9,96.3,95.1,100.0,99.2,102.0,112.8,0.0,0.0,0.0,1.01,1.01,0.9,0.0,0.0,0.0,0.0,98.9,0.0
2015,688,0.0,0.0,27.1,0.0,0.0,0.0,101.1,101.7,102.1,102.3,94.6,91.2,290.0,279.0,263.0,0.99,1.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2015,703,53.0,100.0,100.0,100.0,15.0,32.0,96.1,96.8,98.3,98.3,88.6,85.0,254.0,216.0,200.0,0.99,1.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2015,705,69.6,100.0,100.0,100.0,8.2,22.3,98.6,98.6,98.3,98.4,118.4,117.2,55.0,116.0,89.0,1.0,1.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2015,724,76.5,100.0,100.0,100.0,5.3,18.2,117.7,121.9,102.9,101.5,132.5,127.8,0.0,0.0,0.0,0.97,1.01,1.04,0.0,0.0,0.0,100.0,100.0,100.0
2015,752,65.3,0.0,87.2,0.0,5.1,29.6,113.3,108.0,122.1,117.3,179.7,148.5,334.0,792.0,510.0,1.05,1.04,1.17,0.0,0.0,0.0,0.0,0.0,0.0
2015,840,69.7,100.0,100.0,100.0,8.7,21.7,100.7,100.4,100.3,100.3,95.6,93.9,0.0,0.0,0.0,1.0,1.0,1.02,0.0,0.0,0.0,100.0,100.0,100.0
2021,100,0.0,0.0,68.7,0.0,0.0,0.0,93.8,94.4,87.2,87.4,84.9,88.8,199.0,238.0,278.0,0.99,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0
2021,191,0.0,0.0,41.9,0.0,0.0,0.0,113.0,107.2,96.1,95.8,98.5,93.1,177.0,152.0,149.0,1.05,1.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2021,196,0.0,0.0,32.5,0.0,0.0,0.0,103.7,104.5,99.2,99.0,99.5,102.3,29.0,59.0,28.0,0.99,1.0,0.97,0.0,0.0,0.0,100.0,100.0,100.0
2021,276,0.0,0.0,54.0,0.0,0.0,0.0,99.1,100.8,101.4,101.3,96.0,110.8,0.0,0.0,0.0,0.98,1.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2021,380,0.0,0.0,44.3,0.0,0.0,0.0,102.1,103.8,101.2,102.0,101.4,102.5,0.0,0.0,0.0,0.98,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0
2021,442,0.0,100.0,100.0,100.0,0.0,0.0,111.1,118.6,98.5,98.4,104.6,95.8,23.0,41.0,26.0,0.94,1.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0
2021,554,0.0,0.0,96.3,0.0,0.0,0.0,102.2,102.6,98.1,97.8,146.8,132.1,276.0,385.0,263.0,1.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
2021,620,0.0,99.0,99.5,98.0,0.0,0.0,111.5,114.5,104.4,105.4,125.7,121.2,343.0,583.0,394.0,0.97,0.99,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2021,724,0.0,100.0,100.0,100.0,0.0,0.0,111.4,111.7,103.1,102.7,132.0,122.3,0.0,0.0,0.0,1.0,1.0,1.07,0.0,0.0,0.0,100.0,100.0,100.0
2021,804,0.0,100.0,98.9,100.0,0.0,0.0,87.3,85.8,91.6,90.8,78.5,79.8,0.0,0.0,632.0,1.02,1.01,0.98,0.0,0.0,0.0,0.0,90.0,0.0
2022,8,80.4,0.0,0.0,0.0,10.6,8.9,91.4,98.2,92.7,98.5,91.4,101.9,124.0,154.0,103.0,0.93,0.94,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2022,20,40.7,100.0,100.0,100.0,1.3,58.1,94.0,96.7,89.9,90.4,103.7,100.0,3.0,4.0,2.0,0.97,1.0,1.04,0.0,422.0,0.0,0.0,100.0,100.0
2022,40,0.0,100.0,100.0,100.0,0.0,0.0,100.6,101.2,100.4,101.1,100.3,103.6,343.0,348.0,351.0,0.99,0.99,0.97,0.0,0.0,0.0,0.0,0.0,0.0
2022,112,0.0,100.0,100.0,100.0,0.0,0.0,91.6,94.8,92.9,96.5,95.3,101.1,517.0,452.0,194.0,0.97,0.96,0.94,0.0,0.0,0.0,98.5,99.4,94.8
2022,156,0.0,97.0,95.2,92.0,0.0,0.0,0.0,0.0,101.0,99.4,91.1,88.1,0.0,0.0,0.0,0.0,1.02,1.03,0.0,0.0,0.0,0.0,0.0,0.0
2022,268,0.0,100.0,100.0,98.0,0.0,0.0,92.2,95.2,104.8,104.3,112.7,118.0,140.0,346.0,149.0,0.97,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0
2022,344,0.0,100.0,100.0,100.0,0.0,0.0,104.0,106.6,99.9,102.2,97.0,100.1,178.0,353.0,161.0,0.98,0.98,0.97,0.0,0.0,0.0,0.0,95.7,0.0
2022,446,0.0,100.0,100.0,100.0,0.0,0.0,92.5,98.2,87.1,83.1,86.3,83.2,16.0,37.0,13.0,0.94,1.05,1.04,0.0,0.0,0.0,93.7,99.1,93.2
2022,498,67.9,100.0,100.0,100.0,8.3,23.8,103.8,104.4,106.0,107.0,83.7,82.6,161.0,138.0,69.0,0.99,0.99,1.01,0.0,0.0,0.0,0.0,100.0,0.0
2022,674,0.0,100.0,100.0,100.0,0.0,0.0,95.0,96.2,99.1,96.6,36.1,44.6,1.0,2.0,1.0,0.99,1.03,0.81,158.0,243.0,129.0,0.6,34.2,8.5
2022,703,0.0,100.0,100.0,100.0,0.0,0.0,95.8,96.4,100.4,100.2,88.9,85.1,274.0,233.0,183.0,0.99,1.0,1.04,0.0,0.0,0.0,97.6,97.6,98.5
2022,705,0.0,100.0,100.0,100.0,0.0,0.0,97.9,97.3,100.3,101.0,118.3,115.4,65.0,133.0,90.0,1.01,0.99,1.02,0.0,0.0,0.0,0.0,0.0,0.0
