Region/Country/Area,"Enrollment in primary, lower secondary and upper secondary education levels",Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Primary (female),95.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Students enrolled in lower secondary education (thousands),"36,584",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Lower secondary level (male),53.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Lower secondary level (female),47.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Students enrolled in upper secondary education (thousands),"19,919",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Upper secondary level (male),37.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Upper secondary level (female),30.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Students enrolled in primary education (thousands),"189,519",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Primary (male),101.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Primary (female),97.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Students enrolled in lower secondary education (thousands),"45,064",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Lower secondary level (male),53.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Lower secondary level (female),49.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Students enrolled in upper secondary education (thousands),"26,270",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Upper secondary level (male),38.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Upper secondary level (female),33.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2005,Students enrolled in primary education (thousands),"26,759",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2005,Gross enrollment ratio - Primary (male),102.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
